,,,,,,
,,,,,,
,Lot #,Lot,Variance1,Number,Variance2,Shape 
,,Concentration,sample means,Kernels ,Among Kernel,Parameter
,,(ppb),,(10kg),,(k)
,,,,,,
,10,21.7,1006.8,7730,7782564.0,6.050594E-05
,17,27.0,2028.7,7730,15681851.0,4.648694E-05
,19,28.0,1203.0,7730,9299190.0,8.430867E-05
,14,30.4,1688.5,7730,13052105.0,7.080560E-05
,4,36.6,3468.1,7730,26808413.0,4.996796E-05
,15,38.7,1921.9,7730,14856287.0,1.008121E-04
,12,39.7,1107.5,7730,8560975.0,1.841025E-04
,18,42.4,1844.8,7730,14260304.0,1.260678E-04
,13,44.6,3814.4,7730,29485312.0,6.746284E-05
,11,45.4,2291.4,7730,17712522.0,1.163677E-04
,20,65.6,2762.3,7730,21352579.0,2.015388E-04
,7,66.1,8800.6,7730,68028638.0,6.422610E-05
,16,73.0,3100.5,7730,23966865.0,2.223493E-04
,5,83.9,1976.6,7730,15279118.0,4.607104E-04
,6,106.9,15042.7,7730,116280071.0,9.827669E-05
,3,138.2,16515.1,7730,127661723.0,1.496084E-04
,9,141.3,9002.5,7730,69589325.0,2.869079E-04
,8,180.2,40506.4,7730,313114472.0,1.037067E-04
,2,187.8,27208.0,7730,210317840.0,1.676932E-04
,1,227.5,28653.1,7730,221488463.0,2.336749E-04
